problem_id,problem_name,compiled,correctness,runtime_ms,reference_runtime_ms,speedup_over_eager,wall_time_seconds,status
1,1_Square_matrix_multiplication_.py,True,True,462.0,8.71,0.018852813852813854,82.893,ok
2,2_Standard_matrix_multiplication_.py,True,True,301.0,9.17,0.030465116279069768,66.182,ok
3,3_Batched_matrix_multiplication.py,True,True,971.0,17.9,0.018434603501544796,155.51,ok
4,4_Matrix_vector_multiplication_.py,True,True,18.6,12.0,0.6451612903225806,145.286,ok
5,5_Matrix_scalar_multiplication.py,True,True,18.3,12.1,0.6612021857923497,95.061,ok
6,6_Matmul_with_large_K_dimension_.py,True,True,115.0,83.2,0.7234782608695652,65.247,ok
7,7_Matmul_with_small_K_dimension_.py,True,True,216.0,11.1,0.05138888888888889,60.507,ok
8,8_Matmul_with_irregular_shapes_.py,True,True,600.0,19.6,0.03266666666666667,99.718,ok
9,9_Tall_skinny_matrix_multiplication_.py,True,True,112.0,8.22,0.07339285714285715,48.789,ok
10,10_3D_tensor_matrix_multiplication.py,True,True,78.8,3.33,0.04225888324873096,40.639,ok
11,11_4D_tensor_matrix_multiplication.py,True,True,1420.0,26.3,0.018521126760563382,206.158,ok
12,12_Matmul_with_diagonal_matrices_.py,True,True,0.667,0.253,0.3793103448275862,31.202,ok
13,13_Matmul_for_symmetric_matrices.py,True,True,272.0,8.7,0.031985294117647056,62.389,ok
14,14_Matmul_for_upper_triangular_matrices.py,True,True,273.0,11.5,0.04212454212454213,62.708,ok
15,15_Matmul_for_lower_triangular_matrices.py,True,True,273.0,11.5,0.04212454212454213,62.82,ok
16,16_Matmul_with_transposed_A.py,True,True,298.0,10.9,0.03657718120805369,66.126,ok
17,17_Matmul_with_transposed_B.py,True,True,298.0,10.1,0.03389261744966443,66.097,ok
18,18_Matmul_with_transposed_both.py,True,True,298.0,10.3,0.03456375838926175,65.961,ok
19,19_ReLU.py,True,True,68.5,18.2,0.2656934306569343,147.626,ok
20,20_LeakyReLU.py,True,True,68.2,18.2,0.2668621700879765,148.043,ok
21,21_Sigmoid.py,True,True,66.1,18.1,0.2738275340393344,147.107,ok
22,22_Tanh.py,True,True,65.9,18.1,0.2746585735963581,146.86,ok
23,23_Softmax.py,True,True,171.0,35.3,0.2064327485380117,159.911,ok
24,24_LogSoftmax.py,True,True,52.8,35.2,0.6666666666666667,147.082,ok
25,25_Swish.py,True,True,66.0,124.0,1.878787878787879,157.353,ok
26,26_GELU_.py,True,True,65.8,18.1,0.2750759878419453,149.173,ok
27,27_SELU_.py,True,True,27.5,18.1,0.6581818181818182,142.663,ok
